src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8,z00,z01,z02,z10,z11,z12,z20,z21,z22
"image_0180.png",1,3400,4944,"c00576_x2130_y2588.tif",2130,2588,33,59,2.796610e-01,7.400000e+02,4.495653e-02,3.514595e-02,5.171862e-01,-1.621641e-03,9.642170e-03,-1.587941e-02,-1.881126e-02,5.621427e-01,2.279418e-01,4.396421e-03,3.903590e-04,2.295475e-06,-8.237696e-05,3.070489e-07,8.358803e-05,2.918660e-01,9.521531e-01,0.000000e+00,0.000000e+00,8.468900e-01,0.000000e+00,2.294372e-01,8.398268e-01,2.424242e-01
"image_0180.png",1,3400,4944,"c00577_x1128_y2602.tif",1128,2602,68,147,2.312925e-01,2.854000e+03,9.970436e-02,9.503620e-03,9.202897e-01,5.017740e-03,5.681816e-03,-9.575017e-03,1.628665e-02,1.019994e+00,6.737215e-01,1.139152e-03,5.033825e-04,1.058086e-08,3.751773e-04,3.164993e-07,-8.654325e-05,3.923933e-01,4.165121e-01,2.661565e-01,0.000000e+00,3.933210e-01,6.972789e-02,3.951763e-01,3.172542e-01,3.358844e-01
"image_0180.png",1,3400,4944,"c00578_x1442_y2602.tif",1442,2602,43,44,4.886364e-01,5.290000e+02,1.654972e-01,5.129682e-03,1.615706e-01,9.766399e-04,3.797876e-04,-4.608223e-04,-1.544708e-03,3.270677e-01,1.206725e-04,1.276962e-05,1.623108e-06,-1.261220e-11,-1.661321e-08,-6.803841e-12,-3.236915e-09,0.000000e+00,4.489796e-01,0.000000e+00,5.153061e-01,6.785714e-01,5.000000e-01,0.000000e+00,4.553571e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00579_x1860_y2602.tif",1860,2602,43,44,4.886364e-01,5.550000e+02,1.461446e-01,2.476592e-03,1.584357e-01,-1.046402e-03,2.282319e-03,-3.861666e-04,-1.307024e-03,3.045803e-01,1.756053e-04,6.649998e-05,3.003452e-06,4.244899e-11,-2.737411e-08,8.791515e-12,-1.444598e-08,0.000000e+00,5.204082e-01,0.000000e+00,5.051020e-01,7.448980e-01,4.952381e-01,0.000000e+00,4.642857e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00580_x0811_y2603.tif",811,2603,44,43,5.113636e-01,5.820000e+02,1.594485e-01,3.304335e-03,1.356187e-01,-9.341972e-04,1.325962e-03,-2.138068e-03,5.301350e-04,2.950672e-01,6.115327e-04,4.191747e-05,1.288391e-05,1.308347e-10,6.745803e-08,-2.434812e-10,1.556927e-07,0.000000e+00,5.255102e-01,0.000000e+00,5.255102e-01,7.704082e-01,5.758929e-01,0.000000e+00,4.571429e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00581_x1960_y2603.tif",1960,2603,44,43,5.113636e-01,5.910000e+02,1.504243e-01,2.493089e-03,1.430777e-01,-1.261080e-03,1.538209e-03,-1.020657e-03,4.387780e-04,2.935020e-01,7.883503e-05,2.068092e-05,9.114799e-06,7.945736e-11,-3.545015e-08,2.042205e-11,3.637605e-08,0.000000e+00,5.663265e-01,0.000000e+00,5.102041e-01,7.653061e-01,5.491071e-01,0.000000e+00,5.095238e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00582_x2070_y2603.tif",2070,2603,44,43,5.113636e-01,5.400000e+02,1.552831e-01,3.024615e-03,1.521748e-01,-2.236962e-04,-3.295219e-06,-3.567285e-04,-4.557485e-04,3.074579e-01,4.625439e-05,9.153378e-07,5.476140e-07,6.437444e-13,3.615691e-09,3.872570e-13,-4.465415e-10,0.000000e+00,4.897959e-01,0.000000e+00,4.744898e-01,7.295918e-01,4.732143e-01,0.000000e+00,4.857143e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00583_x0758_y2606.tif",758,2606,34,38,4.473684e-01,6.470000e+02,1.011180e-01,-3.430386e-02,2.192311e-01,1.442653e-03,1.680925e-03,2.778886e-03,-6.068837e-03,3.203492e-01,1.865772e-02,1.709953e-04,3.707516e-05,-1.241628e-09,2.710926e-06,-2.908381e-09,-2.138760e-06,4.469697e-01,7.121212e-01,6.597222e-01,1.212121e-01,5.227273e-01,1.319444e-01,7.727273e-01,6.038961e-01,4.940476e-01
"image_0180.png",1,3400,4944,"c00584_x1794_y2608.tif",1794,2608,53,37,6.509434e-01,1.049000e+03,2.091322e-01,5.809054e-03,1.072767e-01,1.487159e-03,1.085226e-02,5.503800e-04,2.150117e-03,3.164089e-01,1.050953e-02,9.245921e-04,1.732134e-04,-6.191011e-08,-1.618143e-05,-3.149926e-08,-3.656417e-06,6.470588e-01,6.666667e-01,5.219298e-01,5.196078e-01,5.000000e-01,4.078947e-01,4.434389e-01,4.479638e-01,6.639676e-01
"image_0180.png",1,3400,4944,"c00585_x1375_y2609.tif",1375,2609,53,37,6.509434e-01,1.065000e+03,2.068292e-01,5.713797e-03,1.061320e-01,-4.445974e-03,1.124471e-02,1.373534e-03,2.499545e-03,3.129612e-01,1.027052e-02,1.048985e-03,1.983443e-04,-6.987438e-08,-1.903672e-05,3.457206e-08,3.226857e-06,6.715686e-01,7.009804e-01,5.657895e-01,4.901961e-01,4.754902e-01,4.473684e-01,4.208145e-01,4.253394e-01,6.882591e-01
"image_0180.png",1,3400,4944,"c00586_x1594_y2609.tif",1594,2609,40,38,5.250000e-01,6.050000e+02,2.047073e-01,-5.731576e-02,1.740348e-01,5.716012e-02,-3.291588e-02,-1.680222e-02,7.981476e-03,3.787422e-01,1.408119e-02,2.296172e-02,2.250484e-03,1.740637e-05,2.615957e-04,1.245634e-05,-2.685328e-05,7.307692e-01,1.346154e-01,5.357143e-01,6.217949e-01,2.051282e-01,4.107143e-01,6.538462e-01,3.461538e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00587_x2013_y2610.tif",2013,2610,40,37,5.375000e-01,6.170000e+02,2.023674e-01,-5.288419e-02,1.671864e-01,5.826202e-02,-3.255723e-02,-1.637876e-02,7.919949e-03,3.695539e-01,1.242465e-02,2.268399e-02,2.361202e-03,1.903676e-05,2.586426e-04,1.261413e-05,-2.436640e-05,7.371795e-01,1.602564e-01,5.535714e-01,6.346154e-01,2.243590e-01,4.166667e-01,6.804734e-01,3.846154e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00588_x1538_y2617.tif",1538,2617,46,12,8.695652e-01,4.370000e+02,4.089816e-01,6.116104e-03,1.818204e-02,1.044994e-02,-1.982223e-03,-1.020702e-03,-6.374025e-05,4.271636e-01,1.528739e-01,2.171843e-04,9.309653e-05,1.403851e-08,3.263837e-05,3.022716e-09,8.057440e-06,7.500000e-01,4.666667e-01,5.156250e-01,1.000000e+00,1.000000e+00,1.000000e+00,8.166667e-01,7.833333e-01,7.968750e-01
"image_0180.png",1,3400,4944,"c00589_x2842_y2631.tif",2842,2631,17,47,1.808511e-01,4.960000e+02,3.059541e-02,-3.052591e-02,4.220040e-01,1.630202e-04,2.565162e-03,5.608931e-03,-2.361143e-02,4.525994e-01,1.569280e-01,1.257805e-03,4.762609e-04,3.163111e-07,1.751656e-04,-1.138099e-07,-3.504322e-05,2.266667e-01,8.266667e-01,8.476190e-01,1.733333e-01,9.733333e-01,3.428571e-01,8.000000e-01,9.529412e-01,4.789916e-01
"image_0180.png",1,3400,4944,"c00590_x2781_y2634.tif",2781,2634,34,39,4.358974e-01,4.820000e+02,9.834324e-02,-2.289557e-03,1.548319e-01,1.193407e-03,6.114195e-04,3.212641e-04,1.329198e-03,2.531752e-01,3.211939e-03,3.078092e-07,6.060225e-06,1.010497e-12,5.621852e-08,-8.276664e-12,1.694124e-07,0.000000e+00,6.853147e-01,0.000000e+00,6.223776e-01,9.020979e-01,4.807692e-01,0.000000e+00,6.363636e-01,0.000000e+00
"image_0180.png",1,3400,4944,"c00591_x2410_y2641.tif",2410,2641,23,73,1.575342e-01,6.310000e+02,3.888195e-02,2.588497e-02,6.522894e-01,3.365632e-03,7.559089e-03,9.953736e-02,1.165878e-02,6.911713e-01,3.789488e-01,8.729187e-02,1.095835e-02,8.119081e-04,-6.064081e-03,1.889010e-04,1.477597e-03,2.500000e-01,6.428571e-01,2.314815e-01,8.750000e-01,4.404762e-01,0.000000e+00,1.600000e-01,6.171429e-01,3.288889e-01
"image_0180.png",1,3400,4944,"c00592_x2275_y2642.tif",2275,2642,28,73,1.917808e-01,6.600000e+02,4.395601e-02,1.806570e-02,5.944910e-01,2.293792e-03,8.517664e-03,9.797853e-02,-2.678796e-02,6.384470e-01,3.043942e-01,8.779452e-02,1.038834e-02,1.220716e-04,-5.483990e-03,-1.114307e-04,-8.329709e-04,6.018519e-02,5.833333e-01,2.541667e-01,4.814815e-01,6.712963e-01,0.000000e+00,2.222222e-02,5.333333e-01,3.440000e-01
"image_0180.png",1,3400,4944,"c00593_x2350_y2642.tif",2350,2642,23,73,1.575342e-01,6.440000e+02,3.816971e-02,3.720717e-02,6.440909e-01,-3.639480e-03,-1.032993e-02,-9.203987e-02,2.649723e-02,6.822606e-01,3.726780e-01,7.755018e-02,9.415920e-03,7.203928e-05,-5.618772e-03,-7.379336e-05,-6.063968e-04,3.452381e-01,6.071429e-01,2.592593e-01,0.000000e+00,1.904762e-01,8.981481e-01,1.085714e-01,5.371429e-01,3.955556e-01
"image_0180.png",1,3400,4944,"c00594_x2703_y2643.tif",2703,2643,23,74,1.554054e-01,6.660000e+02,3.834794e-02,3.239775e-02,6.303736e-01,-3.397577e-03,-9.794585e-03,-9.102702e-02,3.360133e-02,6.687216e-01,3.546929e-01,7.669631e-02,9.482767e-03,-1.437578e-05,-5.234280e-03,-1.251768e-04,-1.060343e-03,3.630952e-01,6.190476e-01,2.407407e-01,0.000000e+00,1.964286e-01,9.212963e-01,1.263736e-01,5.604396e-01,3.931624e-01
"image_0180.png",1,3400,4944,"c00595_x2435_y2645.tif",2435,2645,13,35,1.857143e-01,2.830000e+02,2.378741e-02,1.841878e-02,3.524988e-01,1.000722e-03,3.676008e-03,9.484634e-03,-1.951293e-03,3.762862e-01,1.094082e-01,9.221398e-04,1.129173e-04,2.467772e-08,-3.382926e-05,2.922408e-08,7.914722e-06,7.500000e-01,1.000000e+00,1.454545e-01,8.636364e-01,1.000000e+00,2.000000e-01,6.346154e-01,9.615385e-01,3.384615e-01
"image_0180.png",1,3400,4944,"c00596_x2590_y2645.tif",2590,2645,13,35,1.857143e-01,2.880000e+02,2.496962e-02,1.720790e-02,3.500856e-01,1.279822e-03,4.577830e-03,1.135591e-02,-1.275283e-02,3.750552e-01,1.068848e-01,1.776573e-03,2.264924e-04,-1.529645e-07,-3.729103e-05,-1.241391e-07,-3.198610e-05,7.954545e-01,9.772727e-01,1.090909e-01,9.545455e-01,1.000000e+00,7.272727e-02,8.076923e-01,1.000000e+00,3.076923e-01
"image_0180.png",1,3400,4944,"c00597_x2437_y2646.tif",2437,2646,41,59,3.474576e-01,3.480000e+02,3.628870e-01,-5.364100e-01,8.133918e-01,-1.715357e-02,2.886449e-02,-4.680359e-02,7.366886e-02,1.176279e+00,1.353897e+00,1.535938e-02,1.460361e-02,-1.284708e-05,1.696395e-02,4.662637e-07,4.908363e-04,0.000000e+00,1.214575e-02,4.140351e-01,4.048583e-03,3.724696e-01,5.964912e-02,3.772894e-01,5.128205e-02,0.000000e+00
"image_0180.png",1,3400,4944,"c00598_x2312_y2647.tif",2312,2647,24,61,1.967213e-01,6.350000e+02,4.377140e-02,-8.941759e-02,5.637146e-01,-3.040609e-04,4.092173e-03,1.895531e-02,-4.876473e-02,6.074860e-01,3.023230e-01,6.994442e-03,2.343507e-03,5.067659e-06,1.154757e-03,-3.988607e-06,-2.858767e-04,0.000000e+00,6.125000e-01,7.000000e-01,1.812500e-01,8.375000e-01,6.250000e-02,7.559524e-01,4.821429e-01,2.619048e-01
"image_0180.png",1,3400,4944,"c00599_x2591_y2647.tif",2591,2647,42,61,3.442623e-01,3.790000e+02,3.548871e-01,-5.197867e-01,7.816247e-01,-8.531808e-03,1.700001e-02,-3.099406e-02,5.349508e-02,1.136512e+00,1.262818e+00,7.138092e-03,6.531852e-03,-9.517116e-08,7.247300e-03,3.666502e-07,5.819971e-04,0.000000e+00,3.928571e-02,4.321429e-01,1.785714e-02,4.071429e-01,1.428571e-02,4.081633e-01,1.360544e-02,0.000000e+00
