src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8
"image_0168.png",1,3400,4944,"c00384_x0024_y3636.tif",24,3636,2,35,2.857143e-02,4.000000e+01,2.734375e-03,2.679688e-02,2.563109e+00,-3.242570e-04,-3.177718e-03,3.376596e-03,6.907219e-01,2.565844e+00,6.558392e+00,4.904664e-01,4.727263e-01,2.276252e-01,1.210534e+00,-3.663497e-04,-7.293838e-03
"image_0168.png",1,3400,4944,"c00385_x2312_y3640.tif",2312,3640,33,37,4.459459e-01,6.230000e+02,1.033692e-01,-3.740448e-02,2.227728e-01,-1.013587e-03,3.690924e-03,2.516829e-03,-9.185687e-03,3.261421e-01,1.985359e-02,4.837485e-04,3.245216e-05,4.294806e-09,4.571099e-06,-1.587796e-09,5.853960e-08
"image_0168.png",1,3400,4944,"c00386_x1844_y3641.tif",1844,3641,42,41,5.119048e-01,4.610000e+02,1.624549e-01,5.631466e-03,1.683033e-01,8.961981e-04,1.221713e-03,-2.708489e-03,7.185548e-04,3.307582e-01,1.610578e-04,9.007281e-05,7.049039e-06,1.753384e-10,-7.639971e-08,-6.380537e-11,-2.326950e-08
"image_0168.png",1,3400,4944,"c00387_x1953_y3642.tif",1953,3642,41,55,3.727273e-01,9.590000e+02,1.301528e-01,-5.243747e-02,1.922478e-01,1.242216e-02,8.692925e-03,-1.820889e-02,2.947177e-03,3.224006e-01,1.485454e-02,5.030617e-03,1.689782e-04,2.486890e-07,2.046240e-05,7.726892e-08,1.166320e-06
"image_0168.png",1,3400,4944,"c00388_x2242_y3643.tif",2242,3643,34,36,4.722222e-01,7.180000e+02,1.263494e-01,-3.671433e-03,1.457916e-01,5.823693e-03,1.452580e-03,6.869112e-03,9.017807e-03,2.721410e-01,4.319201e-04,2.402724e-04,2.707363e-04,9.361762e-08,-2.952568e-06,6.776816e-08,2.394853e-06
"image_0168.png",1,3400,4944,"c00389_x1523_y3644.tif",1523,3644,43,41,5.232558e-01,4.740000e+02,1.653076e-01,2.383273e-03,1.662011e-01,-4.086574e-03,2.031136e-03,1.181167e-03,-5.195192e-04,3.315087e-01,2.351833e-05,1.019488e-04,1.072637e-05,3.883226e-10,-4.736890e-08,2.352476e-10,1.074816e-08
"image_0168.png",1,3400,4944,"c00390_x1185_y3646.tif",1185,3646,42,43,4.883721e-01,4.890000e+02,1.489610e-01,1.821959e-03,1.742795e-01,-7.272320e-03,1.989355e-03,1.174081e-03,2.204802e-04,3.232405e-01,6.543018e-04,1.495573e-04,4.207189e-05,3.418966e-09,-9.161276e-07,1.754844e-09,-2.823353e-07
"image_0168.png",1,3400,4944,"c00391_x1576_y3647.tif",1576,3647,40,55,3.636364e-01,9.210000e+02,1.351267e-01,-5.730143e-02,1.964296e-01,1.473597e-02,7.826854e-03,-1.775137e-02,3.043629e-03,3.315564e-01,1.689186e-02,5.040319e-03,1.272600e-04,1.109905e-07,1.419970e-05,8.846110e-08,4.240700e-06
"image_0168.png",1,3400,4944,"c00392_x1125_y3651.tif",1125,3651,41,40,5.121951e-01,6.780000e+02,1.893912e-01,-4.386750e-02,1.586896e-01,4.796554e-02,-2.930768e-02,-1.540879e-02,7.600912e-03,3.480808e-01,8.640016e-03,1.799694e-02,1.531125e-03,8.305964e-06,1.420807e-04,6.637800e-06,-4.130470e-06
"image_0168.png",1,3400,4944,"c00393_x1237_y3652.tif",1237,3652,42,55,3.818182e-01,9.670000e+02,1.317706e-01,-5.172013e-02,1.903790e-01,1.554820e-02,6.475662e-03,-1.667498e-02,1.979825e-03,3.221496e-01,1.413483e-02,4.604241e-03,7.276491e-05,3.778796e-08,6.086869e-06,4.172054e-08,3.073685e-06
