src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8
"image_0167.png",1,3400,4944,"c00128_x1513_y1517.tif",1513,1517,36,9,8.750000e-01,2.870000e+02,3.401679e-01,-5.551165e-03,1.985059e-02,-2.278395e-03,9.311717e-04,3.629604e-04,-9.262310e-05,3.600185e-01,1.027264e-01,1.966834e-05,4.372052e-06,4.718567e-11,9.856376e-07,2.047254e-11,4.980255e-07
"image_0167.png",1,3400,4944,"c00129_x3303_y1521.tif",3303,1521,2,22,4.545455e-02,3.000000e+01,6.518519e-03,2.607407e-02,1.401519e+00,5.553862e-04,2.221545e-03,2.935613e-03,-5.908876e-01,1.408037e+00,1.948744e+00,3.571368e-01,3.465399e-01,1.219112e-01,4.831748e-01,-4.855727e-04,-1.190184e-02
"image_0167.png",1,3400,4944,"c00130_x1802_y1525.tif",1802,1525,16,54,1.481481e-01,4.250000e+02,3.171216e-02,-4.361197e-04,5.415719e-01,-1.496955e-03,-4.786816e-04,-6.582415e-02,2.328154e-02,5.732840e-01,2.599577e-01,3.901735e-02,5.052101e-03,4.470561e-06,-2.042961e-03,-5.349011e-05,-7.844423e-04
"image_0167.png",1,3400,4944,"c00131_x1646_y1526.tif",1646,1526,16,55,1.454545e-01,4.380000e+02,3.104615e-02,-5.089680e-03,5.406847e-01,1.183167e-03,3.273107e-04,6.405961e-02,1.793231e-02,5.717309e-01,2.598351e-01,3.676666e-02,4.590033e-03,1.944242e-04,-2.023671e-03,3.977101e-05,5.871688e-04
"image_0167.png",1,3400,4944,"c00132_x1749_y1526.tif",1749,1526,14,27,2.592593e-01,2.250000e+02,3.258381e-02,2.015473e-02,2.802173e-01,-9.170635e-05,2.105016e-03,-7.066367e-03,-1.027652e-02,3.128011e-01,6.294719e-02,7.208022e-04,1.180115e-04,1.168024e-07,8.562689e-06,3.270101e-08,1.417152e-05
"image_0167.png",1,3400,4944,"c00133_x2330_y1526.tif",2330,1526,33,51,3.235294e-01,5.240000e+02,1.471300e-01,-7.479816e-02,3.293378e-01,4.167191e-02,-4.098786e-02,-3.705539e-02,8.635662e-02,4.764677e-01,5.557874e-02,6.717442e-02,2.079637e-03,1.380996e-05,3.084949e-04,1.977571e-05,1.905274e-04
"image_0167.png",1,3400,4944,"c00134_x1751_y1527.tif",1751,1527,33,50,3.300000e-01,3.190000e+02,2.535346e-01,-3.904434e-01,6.303464e-01,-6.017703e-03,1.291007e-02,-2.377782e-02,3.955105e-02,8.838810e-01,7.517713e-01,4.266823e-03,3.639942e-03,-2.713353e-07,3.143745e-03,1.242227e-07,1.389439e-04
"image_0167.png",1,3400,4944,"c00135_x1581_y1534.tif",1581,1534,8,9,4.444444e-01,5.600000e+01,7.862040e-02,6.394634e-03,8.149030e-02,1.272240e-03,1.024939e-03,-1.267728e-03,-1.003687e-03,1.601107e-01,1.718017e-04,4.239413e-05,4.719793e-10,-3.544213e-13,3.689936e-12,1.757372e-17,-2.482725e-12
"image_0167.png",1,3400,4944,"c00136_x1513_y1535.tif",1513,1535,32,38,4.210526e-01,4.280000e+02,1.012378e-01,-1.177561e-03,1.646722e-01,3.385310e-04,1.778484e-04,5.600423e-04,3.684211e-03,2.659100e-01,4.029475e-03,1.172657e-05,1.572293e-05,2.161923e-10,8.785912e-07,5.966478e-11,2.367524e-07
"image_0167.png",1,3400,4944,"c00137_x1977_y1536.tif",1977,1536,25,37,3.378378e-01,5.290000e+02,7.729684e-02,-5.212702e-03,2.505604e-01,-5.240343e-04,3.854935e-03,-4.455362e-04,4.347406e-03,3.278572e-01,3.012894e-02,5.275111e-05,6.821845e-05,-3.780653e-09,1.165983e-05,1.835433e-09,-1.032119e-06
"image_0167.png",1,3400,4944,"c00138_x0659_y1537.tif",659,1537,10,28,1.785714e-01,2.090000e+02,2.788639e-02,1.094538e-02,2.930443e-01,-1.118317e-03,-6.200007e-05,-2.724425e-03,9.830765e-03,3.209307e-01,7.078793e-02,1.501080e-04,1.101954e-04,8.709919e-09,1.974468e-05,-6.927589e-09,-1.083660e-05
